player,opponent,division,hrsNum,gamesAgainst,hue
David Ortiz,Red Sox,AL East,4,25,1
David Ortiz,Orioles,AL East,55,247,1
David Ortiz,Blue Jays,AL East,62,251,1
David Ortiz,Yankees,AL East,53,257,1
David Ortiz,Rays,AL East,53,258,1
David Ortiz,Indians,AL Central,27,142,1
David Ortiz,Tigers,AL Central,36,129,1
David Ortiz,Royals,AL Central,21,127,1
David Ortiz,White Sox,AL Central,28,139,1
David Ortiz,Twins,AL Central,21,73,1
David Ortiz,Rangers,AL West,33,129,1
David Ortiz,Mariners,AL West,30,134,1
David Ortiz,Astros,AL West,7,35,1
David Ortiz,Angels,AL West,32,144,1
David Ortiz,Athletics,AL West,23,140,1
David Ortiz,Nationals,NL East,4,10,1
David Ortiz,Mets,NL East,3,12,1
David Ortiz,Marlins,NL East,11,22,1
David Ortiz,Phillies,NL East,9,41,1
David Ortiz,Braves,NL East,8,34,1
David Ortiz,Cubs,NL Central,4,16,1
David Ortiz,Cardinals,NL Central,1,22,1
David Ortiz,Pirates,NL Central,0,11,1
David Ortiz,Brewers,NL Central,5,20,1
David Ortiz,Reds,NL Central,0,8,1
David Ortiz,Dodgers,NL West,2,9,1
David Ortiz,Giants,NL West,3,14,1
David Ortiz,Rockies,NL West,2,20,1
David Ortiz,Diamondbacks,NL West,4,11,1
David Ortiz,Padres,NL West,0,13,1
Albert Pujols,Red Sox,AL East,10,42,79
Albert Pujols,Orioles,AL East,5,36,79
Albert Pujols,Blue Jays,AL East,7,36,79
Albert Pujols,Yankees,AL East,8,37,79
Albert Pujols,Rays,AL East,11,36,79
Albert Pujols,Indians,AL Central,7,35,79
Albert Pujols,Tigers,AL Central,13,51,79
Albert Pujols,Royals,AL Central,22,88,79
Albert Pujols,White Sox,AL Central,11,38,79
Albert Pujols,Twins,AL Central,6,40,79
Albert Pujols,Rangers,AL West,17,90,79
Albert Pujols,Mariners,AL West,19,96,79
Albert Pujols,Astros,AL West,53,254,79
Albert Pujols,Angels,AL West,4,9,79
Albert Pujols,Athletics,AL West,16,92,79
Albert Pujols,Nationals,NL East,17,44,79
Albert Pujols,Expos,NL East,7,24,79
Albert Pujols,Mets,NL East,22,81,79
Albert Pujols,Marlins,NL East,15,71,79
Albert Pujols,Phillies,NL East,13,77,79
Albert Pujols,Braves,NL East,19,71,79
Albert Pujols,Cubs,NL Central,56,182,79
Albert Pujols,Cardinals,NL Central,1,6,79
Albert Pujols,Pirates,NL Central,50,177,79
Albert Pujols,Brewers,NL Central,42,183,79
Albert Pujols,Reds,NL Central,47,177,79
Albert Pujols,Dodgers,NL West,18,101,79
Albert Pujols,Giants,NL West,16,75,79
Albert Pujols,Rockies,NL West,21,81,79
Albert Pujols,Diamondbacks,NL West,18,89,79
Albert Pujols,Padres,NL West,20,84,79
Sammy Sosa,Red Sox,AL East,5,45,210
Sammy Sosa,Orioles,AL East,3,29,210
Sammy Sosa,Blue Jays,AL East,7,40,210
Sammy Sosa,Yankees,AL East,5,40,210
Sammy Sosa,Rays,AL East,3,18,210
Sammy Sosa,Indians,AL Central,2,51,210
Sammy Sosa,Tigers,AL Central,6,43,210
Sammy Sosa,Royals,AL Central,5,44,210
Sammy Sosa,White Sox,AL Central,14,53,210
Sammy Sosa,Twins,AL Central,14,52,210
Sammy Sosa,Rangers,AL West,5,35,210
Sammy Sosa,Mariners,AL West,6,50,210
Sammy Sosa,Astros,AL West,42,163,210
Sammy Sosa,Angels,AL West,7,48,210
Sammy Sosa,Athletics,AL West,5,52,210
Sammy Sosa,Nationals,NL East,0,0,210
Sammy Sosa,Expos,NL East,24,100,210
Sammy Sosa,Mets,NL East,28,101,210
Sammy Sosa,Marlins,NL East,30,107,210
Sammy Sosa,Phillies,NL East,35,101,210
Sammy Sosa,Braves,NL East,21,103,210
Sammy Sosa,Cubs,NL Central,1,2,210
Sammy Sosa,Cardinals,NL Central,40,153,210
Sammy Sosa,Pirates,NL Central,38,157,210
Sammy Sosa,Brewers,NL Central,44,120,210
Sammy Sosa,Reds,NL Central,53,168,210
Sammy Sosa,Dodgers,NL West,29,109,210
Sammy Sosa,Giants,NL West,29,108,210
Sammy Sosa,Rockies,NL West,45,113,210
Sammy Sosa,Diamondbacks,NL West,22,56,210
Sammy Sosa,Padres,NL West,41,108,210
Manny Ramirez,Red Sox,AL East,12,93,53
Manny Ramirez,Orioles,AL East,36,205,53
Manny Ramirez,Blue Jays,AL East,54,190,53
Manny Ramirez,Yankees,AL East,55,228,53
Manny Ramirez,Rays,AL East,41,153,53
Manny Ramirez,Indians,AL Central,16,59,53
Manny Ramirez,Tigers,AL Central,27,135,53
Manny Ramirez,Royals,AL Central,37,120,53
Manny Ramirez,White Sox,AL Central,25,123,53
Manny Ramirez,Twins,AL Central,29,127,53
Manny Ramirez,Rangers,AL West,23,122,53
Manny Ramirez,Mariners,AL West,39,131,53
Manny Ramirez,Astros,AL West,8,27,53
Manny Ramirez,Angels,AL West,24,132,53
Manny Ramirez,Athletics,AL West,39,139,53
Manny Ramirez,Nationals,NL East,2,10,53
Manny Ramirez,Expos,NL East,1,3,53
Manny Ramirez,Mets,NL East,2,9,53
Manny Ramirez,Marlins,NL East,3,18,53
Manny Ramirez,Phillies,NL East,8,36,53
Manny Ramirez,Braves,NL East,4,40,53
Manny Ramirez,Cubs,NL Central,1,20,53
Manny Ramirez,Cardinals,NL Central,6,35,53
Manny Ramirez,Pirates,NL Central,5,27,53
Manny Ramirez,Brewers,NL Central,14,65,53
Manny Ramirez,Reds,NL Central,12,29,53
Manny Ramirez,Dodgers,NL West,1,3,53
Manny Ramirez,Giants,NL West,8,31,53
Manny Ramirez,Rockies,NL West,3,33,53
Manny Ramirez,Diamondbacks,NL West,12,38,53
Manny Ramirez,Padres,NL West,8,32,53